radius,vi,cTime,maxDeflection
1.75,0.2,5.916666667,0.4166666667
1.75,0.3419354839,5.208333333,0.5625
1.75,0.6483870968,4.916666667,0.875
1.75,0.8516129032,4.666666667,1.072916667
1.75,1.009677419,4.416666667,1.166666667
1.75,1.14516129,4.708333333,1.53125
1.75,1.267741935,4.458333333,1.427083333
3,0.4258064516,11.83333333,1.385416667
3,0.5677419355,10.08333333,1.802083333
3,0.7032258065,9.125,1.947916667
3,0.8483870968,8.875,2.40625
3,0.9903225806,8.416666667,2.65625
3,1.132258065,7.833333333,2.822916667
3,0.6548387097,9.375,1.895833333