ID,vi,surfaceTension,radius,cTime,maxDeflection,coefOfRestitution
1633,-0.14194,27,0.35,0.69275,0.0298857365,NaN
2436,-0.30645,27,0.35,0.666875,0.0614436472,NaN
3216,-0.47761,27,0.35,0.6594375,0.0956337502,NaN
3930,-0.7,27,0.35,0.64946875,0.1361140656,NaN
0814,-0.88387,27,0.35,0.648234375,0.1727061578,0.439517755200643
5421,-1.07742,27,0.35,0.64271875,0.2071277588,NaN
1,-1.20645,27,0.35,0.640484375,0.2298054047,NaN
5711,-0.50322,27,0.795,2.330875,0.3557598604,NaN
733,-0.99677,27,0.795,2.2909375,0.6913671181,NaN
1214,-1.20322,27,0.795,2.2799375,0.8249530156,NaN
5040,-0.20323,27,0.795,2.4225,0.1525945838,NaN
5508,-0.31613,27,0.795,2.37375,0.2310881573,NaN
952,-0.78065,27,0.795,2.2989375,0.5466603552,NaN
532,-0.83548,27,0.795,2.2979375,0.584180467,NaN
3605,-0.2,28,0.9,3.3615,0.1803934575,NaN
3944,-0.5,28,0.9,3.269875,0.4254728167,NaN
4321,-0.8,28,0.9,3.2579375,0.6675724596,NaN
4717,-1.1,28,0.9,3.2579375,0.9082680477,NaN
5455,-0.5,28,0.95,3.485875,0.4632314082,NaN
5841,-0.8,28,0.95,3.4629375,0.7251980809,NaN
222,-1.1,28,0.95,3.4579375,0.9884260457,NaN
242,-0.5,27,0.995,3.729875,0.5068493878,NaN
737,-0.8,27,0.995,3.704875,0.7959999824,NaN
1200,-1.1,27,0.995,3.6969375,1.0836416792,NaN
634,-0.2,27.001,1.75,7.956875,0.5343815743,NaN
926,-0.34194,27.001,1.75,7.6909375,0.8570255425,NaN
1218,-0.64839,27.001,1.75,7.51359375,1.5499018441,NaN
1457,-0.85161,27.001,1.75,7.48234375,2.0109862137,NaN
1755,-1.00968,27.001,1.75,7.47359375,2.3714506179,NaN
2052,-1.14516,27.001,1.75,7.474921875,2.68324672,NaN
2347,-1.26774,27.001,1.75,7.472421875,2.9665398217,NaN
2644,-0.42581,27.001,3,16.454375,2.347496486,NaN
3111,-0.56774,27.001,3,16.1671875,3.0291391741,NaN
3526,-0.70323,27.001,3,16.0246875,3.6811340838,NaN
3814,-0.84839,27.001,3,15.9471875,4.3892114764,NaN
4052,-0.99032,27.001,3,15.94484375,5.0930915949,NaN
4340,-1.13226,27.001,3,15.97484375,5.8015955331,NaN
4629,-0.65484,27.001,3,16.0596875,3.447870594,NaN
5901,-0.1,27,0.35,0.7098333333,0.0218266151,0.499698135319197
0134,-0.1,27,0.795,2.597,0.0806680024,0.463989610630203
0444,-0.1,27,0.9,3.573,0.0990264989,0.701701246050248
0814,-0.1,27,0.95,3.8183333333,0.1085308788,0.798272375043716
1153,-0.1,27,0.995,4.033,0.1176707005,0.880013995022307
1531,-0.1,27,1.75,8.802,0.3092763547,0.965741500352511
1944,-0.1,27,3,20.5693333333,0.8301934428,0.988947844337179
1853,-0.25,27,0.35,0.6779583333,0.0517105111,0.475644818401729
2215,-0.125,27,0.35,0.6985,0.0268338965,0.493332404882828
2442,-0.0625,27,0.35,0.7263333333,0.0140390855,0.502812756516944
2710,-0.03125,27,0.35,0.75,0.0073502076,0.483811042312382
2938,-0.015625,27,0.35,0.792,0.0039871675,0.433503183793138
3138,-0.0078125,27,0.35,0.9226666667,0.0023665797,0.32064871202826
3352,-0.00390625,27,0.35,1.2013333333,0.0016349516,-0.0650435623286235
4214,-0.0034179688,27,0.35,1.2066666667,0.0014750021,-0.218360633696704
4457,-0.0031738281,27,0.35,1.2346666667,0.0014022455,-0.313605771771285
5333,-0.0031433105,27,0.35,1.2413333333,0.0013943673,-0.324999415652398
5624,-0.0031280518,27,0.35,1.2546666667,0.0013907492,-0.335783173380228
5643,-0.25,27,0.795,2.41725,0.1865921,0.47920523802982
5914,-0.125,27,0.795,2.5276666667,0.0985686274,0.471618019527839
0135,-0.0625,27,0.795,3.138,0.0540472244,0.498945802197274
0417,-0.03125,27,0.795,3.512,0.0309623821,0.517960211758659
0715,-0.015625,27,0.795,4.032,0.0204497012,0.708290341069669
1036,-0.0078125,27,0.795,4.6426666667,0.015533383,0.750532203527091
1422,-0.00390625,27,0.795,5.188,0.0136717567,0.228436151298405
3120,-0.0036621094,27,0.795,5.2266666667,0.01360763,0.14782193071991
3529,-0.0035400391,27,0.795,5.2493333333,0.0135705849,0.098734234741103
3939,-0.0034790039,27,0.795,5.2613333333,0.0135585011,0.0721646527603233
5203,-0.0034713745,27,0.795,5.26,0.0135607454,0.0812087475892331
5616,-0.25,27,0.9,3.4078333333,0.2270188624,0.643635648528795
5914,-0.125,27,0.9,3.525,0.1205743219,0.678596421948808
0210,-0.0625,27,0.9,3.7273333333,0.0665945813,0.741306224279687
0456,-0.03125,27,0.9,4.0986666667,0.0397350752,0.826235849474546
0757,-0.015625,27,0.9,4.616,0.0266721178,0.867016597332839
1119,-0.0078125,27,0.9,5.132,0.0214177003,0.982962508907386
1501,-0.00390625,27,0.9,5.6573333333,0.0197239914,0.84585946976404
1903,-0.001953125,27,0.9,6.0826666667,0.019382352,0.806016302090304
3217,-0.0017089844,27,0.9,6.1506666667,0.0193542647,0.774294951472517
3637,-0.0015869141,27,0.9,6.196,0.0193418394,0.755993019245136
4100,-0.0015258789,27,0.9,6.2266666667,0.0193376997,0.760266459463186
5409,-0.0015182495,27,0.9,6.2173333333,0.0193402685,0.792729539128356
5836,-0.25,27,0.95,3.6278333333,0.247158419,0.751276403717244
0138,-0.125,27,0.95,3.765,0.1320225724,0.784285194095867
0421,-0.0625,27,0.95,3.9793333333,0.07358819,0.859421743772631
0706,-0.03125,27,0.95,4.3493333333,0.0439213016,0.881630218227075
1005,-0.015625,27,0.95,4.9613333333,0.0307819,0.976947943314724
1326,-0.0078125,27,0.95,5.472,0.0252109663,1.04605696527244
2132,-0.005859375,27,0.95,5.8786666667,0.0241233085,0.856410486189107
2526,-0.0048828125,27,0.95,6.4146666667,0.0236392533,0.544867394267519
5537,-0.0048751831,27,0.95,6.3706666667,0.0236431805,0.558254277373684
5934,-0.25,27,0.995,3.8185,0.2660827464,0.829917631565782
0214,-0.125,27,0.995,3.9663333333,0.1429670251,0.876253451511037
0444,-0.0625,27,0.995,4.1806666667,0.0794796524,0.909115771981447
0717,-0.03125,27,0.995,4.58,0.0481813207,0.938302052073116
1003,-0.015625,27,0.995,5.076,0.0337352634,0.98673647026864
1306,-0.0078125,27,0.995,5.9866666667,0.0281439168,0.806144567949919
2046,-0.005859375,27,0.995,6.3386666667,0.0272843423,0.865915253889101
2431,-0.0048828125,27,0.995,6.568,0.0268886696,0.880702699772564
3232,-0.0046386719,27,0.995,6.6453333333,0.0267716502,0.860478299007484
3626,-0.0045166016,27,0.995,6.6906666667,0.0267211604,0.855245459238882
4022,-0.0044555664,27,0.995,6.7106666667,0.0266990166,0.861993954298821
4421,-0.0044250488,27,0.995,6.7413333333,0.0266847633,0.852425798087879
4825,-0.00440979,27,0.995,6.7786666667,0.0266769033,0.842946396269035
5646,-0.25,27,1.75,7.825,0.6520445255,0.989069075130498
5943,-0.125,27,1.75,8.466,0.3661321716,0.96755218016094
0239,-0.0625,27,1.75,9.6946666667,0.2248418169,0.962893086056058
0558,-0.03125,27,1.75,11.096,0.1600912743,0.984033486337331
0941,-0.015625,27,1.75,12.9813333333,0.1350469411,0.966318600420298
1403,-0.0078125,27,1.75,14.272,0.1272631265,0.935874509388656
1849,-0.00390625,27,1.75,14.924,0.1250944226,0.87924981708025
2856,-0.0029296875,27,1.75,15.1293333333,0.1247456086,0.72973552715506
3358,-0.0024414063,27,1.75,15.2453333333,0.1246068111,0.59019354659808
3903,-0.0021972656,27,1.75,15.3173333333,0.1245557521,0.475058991232763
4412,-0.0020751953,27,1.75,15.3693333333,0.1245256868,0.384709759421206
4920,-0.0020141602,27,1.75,15.3826666667,0.1245174477,0.404177044196195
5937,-0.0019989014,27,1.75,15.3986666667,0.1245110816,0.379669001544455
0445,-0.001991272,27,1.75,15.4133333333,0.1245113226,0.366104489751871
0953,-0.25,27,3,17.5676666667,1.5218564906,0.989458834470089
1330,-0.125,27,3,19.616,0.9418643083,0.99768847061354
1727,-0.0625,27,3,22.7413333333,0.6767286664,0.996504045520499
2159,-0.03125,27,3,26.4053333333,0.5758610605,0.986784067657793
2711,-0.015625,27,3,29.0546666667,0.5445550317,0.964555125542187
3253,-0.0078125,27,3,30.788,0.5360804331,0.916689490497706
4510,-0.005859375,27,3,31.2013333333,0.5348804613,0.865774733682346
5120,-0.0048828125,27,3,31.4306666667,0.5343892216,0.803428895808645
5731,-0.0043945313,27,3,31.576,0.534177153,0.746775967507288
1000,-0.0042724609,27,3,31.624,0.5341349832,0.723780397295434
1613,-0.0042114258,27,3,31.6173333333,0.534118481,0.762524465978205